Neural Network Output: [ 0.99983321], Rounded Value: 1, Actual Value: 1.0
Neural Network Output: [ 0.963336], Rounded Value: 1, Actual Value: 1.0
Neural Network Output: [ 0.74327502], Rounded Value: 1, Actual Value: 1.0
Neural Network Output: [ 0.71536077], Rounded Value: 1, Actual Value: 1.0
Neural Network Output: [ 0.73637902], Rounded Value: 1, Actual Value: 0.0
Neural Network Output: [ 0.67596475], Rounded Value: 1, Actual Value: 0.0
Neural Network Output: [ 0.68433142], Rounded Value: 1, Actual Value: 0.0
Neural Network Output: [ 0.55466497], Rounded Value: 1, Actual Value: 0.0
Neural Network Output: [ 0.6147688], Rounded Value: 1, Actual Value: 1.0
Neural Network Output: [ 0.84963689], Rounded Value: 1, Actual Value: 1.0
Neural Network Output: [ 0.64236549], Rounded Value: 1, Actual Value: 0.0
Neural Network Output: [ 0.95430605], Rounded Value: 1, Actual Value: 1.0
Neural Network Output: [ 1.01348913], Rounded Value: 1, Actual Value: 1.0
Neural Network Output: [ 0.86393726], Rounded Value: 1, Actual Value: 1.0
Neural Network Output: [ 0.76383619], Rounded Value: 1, Actual Value: 1.0
Neural Network Output: [ 0.74921457], Rounded Value: 1, Actual Value: 1.0
Neural Network Output: [ 0.6464556], Rounded Value: 1, Actual Value: 0.0
Neural Network Output: [ 0.63506657], Rounded Value: 1, Actual Value: 1.0
Neural Network Output: [ 0.91047925], Rounded Value: 1, Actual Value: 1.0
Neural Network Output: [ 0.71433691], Rounded Value: 1, Actual Value: 1.0
Neural Network Output: [ 0.77851675], Rounded Value: 1, Actual Value: 1.0
Neural Network Output: [ 0.61946212], Rounded Value: 1, Actual Value: 1.0
Neural Network Output: [ 0.6990162], Rounded Value: 1, Actual Value: 1.0
Neural Network Output: [ 0.80941288], Rounded Value: 1, Actual Value: 1.0
Neural Network Output: [ 1.00775406], Rounded Value: 1, Actual Value: 1.0
Neural Network Output: [ 1.03329741], Rounded Value: 1, Actual Value: 1.0
Neural Network Output: [ 1.03208164], Rounded Value: 1, Actual Value: 1.0
Neural Network Output: [ 1.02697974], Rounded Value: 1, Actual Value: 1.0
Neural Network Output: [ 0.83484516], Rounded Value: 1, Actual Value: 1.0
Neural Network Output: [ 0.63094136], Rounded Value: 1, Actual Value: 0.0
Neural Network Output: [ 0.99952009], Rounded Value: 1, Actual Value: 1.0
Neural Network Output: [ 0.6154348], Rounded Value: 1, Actual Value: 0.0
Neural Network Output: [ 0.8754223], Rounded Value: 1, Actual Value: 1.0
Neural Network Output: [ 0.90418144], Rounded Value: 1, Actual Value: 1.0
Neural Network Output: [ 0.79794439], Rounded Value: 1, Actual Value: 1.0
Neural Network Output: [ 0.74334071], Rounded Value: 1, Actual Value: 1.0
Neural Network Output: [ 0.73127793], Rounded Value: 1, Actual Value: 1.0
Neural Network Output: [ 0.76833324], Rounded Value: 1, Actual Value: 1.0
Neural Network Output: [ 0.97412477], Rounded Value: 1, Actual Value: 1.0
Neural Network Output: [ 0.98568088], Rounded Value: 1, Actual Value: 1.0
Neural Network Output: [ 1.00574301], Rounded Value: 1, Actual Value: 1.0
Neural Network Output: [ 0.939748], Rounded Value: 1, Actual Value: 1.0
Neural Network Output: [ 0.89072194], Rounded Value: 1, Actual Value: 1.0
Neural Network Output: [ 0.91810426], Rounded Value: 1, Actual Value: 0.0
Neural Network Output: [ 0.56050966], Rounded Value: 1, Actual Value: 1.0
Neural Network Output: [ 0.66337817], Rounded Value: 1, Actual Value: 1.0
Neural Network Output: [ 0.64231411], Rounded Value: 1, Actual Value: 1.0
Neural Network Output: [ 0.51716306], Rounded Value: 1, Actual Value: 0.0
Output Match %age: 79.1666666667
